CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
6,3.083390054,0.375,105,0.857142857,1,6,1
6,3.083390054,0.375,105,0.857142857,1,6,1
6,3.083390054,0.375,105,0.857142857,1,6,1
17,3.908650337,0.818181818,100,0.9,1,17,1
4,1.820478453,0.4,12,0.666666667,1,4,1
3,1.96401739,0.6,16,0.65,1,3,1
0,3.539621972,0.36,240,0.716239316,1,0,1
0,3.41998547,0.818181818,100,0.657905983,1,0,1
0,0,0,1,0,1,0,1
6,1.391137574,0.086956522,136,0.458333333,1,6,1
12,3.741924186,0.777777778,64,1.058823529,1,12,1
6,0.833854471,0.222222222,24,0.183823529,1,6,1
7,3.319684564,0.777777778,64,0.85,1,7,1
5,2.553913807,0.153846154,125,0.826923077,1,5,1
0,0.214003131,0.008333333,2400,0.009345794,0.5,0,1
10,2.984390068,0.428571429,91,0.803571429,1,10,1
7,3.738737584,0.5,104,1.071428571,1,7,1
7,3.738737584,0.5,104,1.071428571,1,7,1
7,3.738737584,0.5,104,1.071428571,1,7,1
10,2.984390068,0.428571429,91,0.803571429,1,10,1
2,0,0,8,0,1,2,1
4,1.442695041,0.035714286,54,0.5,1,4,1
4,1.442695041,0.035714286,54,0.5,1,4,1
2,0.294014104,0.032258065,135,0.033333333,0.5,2,1
8,3.425138178,0.285714286,243,0.777777778,1,8,1
7,2.986524103,0.5,77,0.805194805,1,7,1
4,2.889658152,0.75,49,0.753246753,1,4,1
0,2.889658152,0.75,49,0.753246753,1,0,1
7,2.889658152,0.75,49,0.753246753,1,7,1
14,5.568729792,0.833333333,121,1.657142857,1,14,1
4,2.986524103,0.5,77,0.805194805,1,4,1
0,2.986524103,0.5,77,0.805194805,1,0,1
7,2.986524103,0.5,77,0.805194805,1,7,1
0,0.248425498,0.035714286,204,0.017857143,0.5,0,1
10,5.255946279,0.846153846,144,1.379761905,1,10,1
0,2.889658152,0.75,49,0.753246753,1,0,1
4,2.889658152,0.75,49,0.753246753,1,4,1
2,0.389871245,0.047619048,72,0.076923077,0.5,2,-1
2,0.389871245,0.05,54,0.076923077,0.5,2,-1
3,1.803368801,0.157894737,72,0.5625,1,3,-1
4,2.636128574,0.263157895,108,0.75,1,4,-1
2,0.339623272,0.052631579,36,0.052631579,0.5,2,-1
2,0.339623272,0.052631579,36,0.052631579,0.5,2,-1
2,0.369269373,0.041666667,126,0.066666667,0.5,2,-1
2,0.36067376,0.047619048,72,0.0625,0.5,2,-1
0,0.417032391,0.05,54,0.090909091,0.5,0,-1
0,1.803368801,0.157894737,72,0.5625,1,0,-1
2,0.369269373,0.04,144,0.066666667,0.5,2,-1
2,0.369269373,0.041666667,126,0.066666667,0.5,2,-1
0,0.417032391,0.05,54,0.090909091,0.5,0,-1
2,0.369269373,0.041666667,126,0.066666667,0.5,2,-1
2,0.369269373,0.04,144,0.066666667,0.5,2,-1
2,0.369269373,0.041666667,126,0.066666667,0.5,2,-1
3,0.961796694,0.105263158,54,0.25,0.5,3,-1
2,0.352956124,0.027027027,360,0.058823529,0.5,2,-1
3,0.961796694,0.105263158,54,0.25,0.5,3,-1
2,0.352956124,0.038461538,162,0.058823529,0.5,2,-1
2,0.352956124,0.038461538,162,0.058823529,0.5,2,-1
2,0.352956124,0.038461538,162,0.058823529,0.5,2,-1
2,0.352956124,0.038461538,162,0.058823529,0.5,2,-1
3,0.36067376,0.047619048,112,0.0625,0.5,3,-1
2,0.36067376,0.033333333,238,0.0625,0.5,2,-1
2,0.36067376,0.047619048,112,0.0625,0.5,2,-1
0,2.790553133,0.333333333,84,0.833333333,1,0,-1
0,3.246063842,0.466666667,112,0.8125,1,0,-1
6,3.246063842,0.466666667,112,0.8125,1,6,-1
0,3.246063842,0.466666667,112,0.8125,1,0,-1
0,3.246063842,0.466666667,112,0.8125,1,0,-1
4,3.246063842,0.466666667,112,0.8125,1,4,-1
0,3.246063842,0.466666667,112,0.8125,1,0,-1
4,3.366288429,0.304347826,224,0.875,1,4,-1
6,3.246063842,0.466666667,112,0.8125,1,6,-1
8,2.790553133,0.333333333,84,0.833333333,1,8,-1
8,2.790553133,0.333333333,84,0.833333333,1,8,-1
8,2.790553133,0.333333333,84,0.833333333,1,8,-1
8,2.790553133,0.333333333,84,0.833333333,1,8,-1
0,2.790553133,0.333333333,84,0.833333333,1,0,-1
2,0.36067376,0.047619048,112,0.0625,0.5,2,-1
0,0.36067376,0.047619048,112,0.0625,0.5,0,-1
2,0.36067376,0.047619048,112,0.0625,0.5,2,-1
2,0.36067376,0.047619048,112,0.0625,0.5,2,-1
2,0.36067376,0.047619048,112,0.0625,0.5,2,-1
0,1.442695041,0.25,4,0.5,0.5,0,-1
0,0.480898347,0.142857143,16,0.125,0.5,0,-1
0,1.391137574,0.333333333,16,0.458333333,1,0,-1
2,0,0,8,0,1,2,-1
0,0.480898347,0.142857143,16,0.125,0.5,0,-1
0,1.202245867,0.5,8,0.375,0.5,0,-1
0,1.631586747,0.2,32,0.583333333,1,0,-1
0,1.202245867,0.4,12,0.375,1,0,-1
0,0.480898347,0.142857143,16,0.125,0.5,0,-1
0,0.480898347,0.142857143,16,0.125,0.5,0,-1
0,1.923593388,0.176470588,64,0.625,1,0,-1
1,1.562919628,0.6,16,0.4375,1,1,-1
0,1.803368801,0.333333333,32,0.5625,1,0,-1
0,1.562919628,0.6,16,0.4375,1,0,-1
0,0.36067376,0.083333333,36,0.0625,0.5,0,-1
0,0.36067376,0.083333333,36,0.0625,0.5,0,-1
0,0.841572107,0.133333333,52,0.1875,0.5,0,-1
0,0.36067376,0.047619048,72,0.0625,0.5,0,-1
0,0.480898347,0.142857143,16,0.125,0.5,0,-1
0,0.36067376,0.166666667,12,0.0625,0.5,0,-1
0,0.36067376,0.166666667,12,0.0625,0.5,0,-1
0,0.36067376,0.014705882,260,0.0625,0.5,0,-1
0,0.480898347,0.142857143,16,0.125,0.5,0,-1
0,0.480898347,0.142857143,16,0.125,0.5,0,-1
0,0.36067376,0.083333333,36,0.0625,0.5,0,-1
0,0.36067376,0.083333333,36,0.0625,0.5,0,-1
0,0.36067376,0.083333333,36,0.0625,0.5,0,-1
0,0.36067376,0.083333333,36,0.0625,0.5,0,-1
0,0.36067376,0.083333333,36,0.0625,0.5,0,-1
5,1.96205481,0.666666667,25,0.521428571,1,5,-1
1,0.378923182,0.1,30,0.071428571,0.5,1,-1
1,0.378923182,0.052631579,75,0.071428571,0.5,1,-1
1,0.378923182,0.033333333,130,0.071428571,0.5,1,-1
2,0.859821529,0.285714286,20,0.196428571,0.5,2,-1
0,0.480898347,0.125,20,0.125,0.5,0,-1
1,0.378923182,0.1,30,0.071428571,0.5,1,-1
1,0.378923182,0.055555556,70,0.071428571,0.5,1,-1
3,2.102491398,0.444444444,40,0.596428571,1,3,-1
0,0.480898347,0.142857143,15,0.125,0.5,0,-1
5,1.96205481,0.666666667,25,0.521428571,1,5,-1
0,2.102491398,0.444444444,40,0.596428571,1,0,-1
0,0.480898347,0.142857143,15,0.125,0.5,0,-1
2,0.859821529,0.285714286,20,0.196428571,0.5,2,-1
1,0.378923182,0.1,30,0.071428571,0.5,1,-1
3,0.594600484,0.058823529,243,0.070454545,0.5,3,-1
3,0.594600484,0.0625,189,0.070454545,0.5,3,-1
13,3.372296909,0.321428571,270,0.63452381,1,13,-1
15,4.646831656,0.392857143,324,1.051190476,1,15,-1
18,5.351261597,0.464285714,378,1.163095238,1,18,-1
3,0.594600484,0.058823529,243,0.070454545,0.5,3,-1
14,6.639046447,0.46875,540,1.58452381,1,14,-1
8,3.437322018,0.272727273,405,0.667857143,1,8,-1
2,0.738538746,0.064516129,162,0.133333333,0.5,2,-1
5,1.62865777,0.142857143,135,0.358333333,1,5,-1
0,3.437322018,0.272727273,405,0.667857143,1,0,-1
8,3.372296909,0.321428571,270,0.63452381,1,8,-1
0,3.372296909,0.321428571,270,0.63452381,1,0,-1
8,1.394862156,0.107142857,108,0.358333333,1,8,-1
16,5.678252431,0.392857143,324,1.570454545,1,16,-1
8,1.394862156,0.107142857,108,0.358333333,1,8,-1
8,2.805434636,0.25,216,0.592857143,1,8,-1
12,2.805434636,0.25,216,0.592857143,1,12,-1
8,2.805434636,0.25,216,0.592857143,1,8,-1
3,0.594600484,0.055555556,297,0.070454545,0.5,3,-1
2,0.333808201,0.025,378,0.05,0.5,2,-1
5,1.62865777,0.142857143,135,0.358333333,1,5,-1
0,0.673514635,0.071428571,81,0.108333333,1,0,-1
2,0.333808201,0.033333333,108,0.05,0.5,2,-1
8,2.805434636,0.25,216,0.592857143,1,8,-1
2,0.333808201,0.033333333,108,0.05,0.5,2,-1
2,0.333808201,0.028571429,243,0.05,0.5,2,-1
9,3.272628155,0.285714286,243,0.709343434,1,9,-1
3,0.594600484,0.057142857,270,0.070454545,0.5,3,-1
2,0.738538746,0.064516129,162,0.133333333,0.5,2,-1
9,3.272628155,0.285714286,243,0.709343434,1,9,-1
3,0.594600484,0.054054054,324,0.070454545,0.5,3,-1
2,0.738538746,0.064516129,162,0.133333333,0.5,2,-1
